"repository","tool","evidence","source"
"Dogmeat88/EasyEDA-MCP","bridge_status","registration","src/mcp-tool-runtime.ts"
"Dogmeat88/EasyEDA-MCP","get_usage_guide","registration","src/mcp-tool-runtime.ts"
"Dogmeat88/EasyEDA-MCP","ping_bridge","registration","src/mcp-tool-runtime.ts"
"Dogmeat88/EasyEDA-MCP","echo_bridge","registration","src/mcp-tool-runtime.ts"
"Dogmeat88/EasyEDA-MCP","search_library_devices","registration","src/mcp-tool-runtime.ts"
"Dogmeat88/EasyEDA-MCP","get_capabilities","registration","src/mcp-tool-runtime.ts"
"Dogmeat88/EasyEDA-MCP","get_current_context","registration","src/mcp-tool-runtime.ts"
"Dogmeat88/EasyEDA-MCP","list_project_objects","registration","src/mcp-tool-runtime.ts"
"Dogmeat88/EasyEDA-MCP","open_document","registration","src/mcp-tool-runtime.ts"
"Dogmeat88/EasyEDA-MCP","save_active_document","registration","src/mcp-tool-runtime.ts"
"Dogmeat88/EasyEDA-MCP","create_board","registration","src/mcp-tool-runtime.ts"
"Dogmeat88/EasyEDA-MCP","create_pcb","registration","src/mcp-tool-runtime.ts"
"Dogmeat88/EasyEDA-MCP","import_schematic_to_pcb","registration","src/mcp-tool-runtime.ts"
"Dogmeat88/EasyEDA-MCP","create_panel","registration","src/mcp-tool-runtime.ts"
"Dogmeat88/EasyEDA-MCP","create_schematic","registration","src/mcp-tool-runtime.ts"
"Dogmeat88/EasyEDA-MCP","create_schematic_page","registration","src/mcp-tool-runtime.ts"
"Dogmeat88/EasyEDA-MCP","copy_board","registration","src/mcp-tool-runtime.ts"
"Dogmeat88/EasyEDA-MCP","copy_pcb","registration","src/mcp-tool-runtime.ts"
"Dogmeat88/EasyEDA-MCP","copy_panel","registration","src/mcp-tool-runtime.ts"
"Dogmeat88/EasyEDA-MCP","copy_schematic","registration","src/mcp-tool-runtime.ts"
"Dogmeat88/EasyEDA-MCP","copy_schematic_page","registration","src/mcp-tool-runtime.ts"
"Dogmeat88/EasyEDA-MCP","add_schematic_component","registration","src/mcp-tool-runtime.ts"
"Dogmeat88/EasyEDA-MCP","modify_schematic_component","registration","src/mcp-tool-runtime.ts"
"Dogmeat88/EasyEDA-MCP","delete_schematic_component","registration","src/mcp-tool-runtime.ts"
"Dogmeat88/EasyEDA-MCP","add_schematic_net_flag","registration","src/mcp-tool-runtime.ts"
"Dogmeat88/EasyEDA-MCP","add_schematic_net_port","registration","src/mcp-tool-runtime.ts"
"Dogmeat88/EasyEDA-MCP","add_schematic_short_circuit_flag","registration","src/mcp-tool-runtime.ts"
"Dogmeat88/EasyEDA-MCP","list_schematic_component_pins","registration","src/mcp-tool-runtime.ts"
"Dogmeat88/EasyEDA-MCP","set_schematic_pin_no_connect","registration","src/mcp-tool-runtime.ts"
"Dogmeat88/EasyEDA-MCP","connect_schematic_pin_to_net","registration","src/mcp-tool-runtime.ts"
"Dogmeat88/EasyEDA-MCP","connect_schematic_pins_to_nets","registration","src/mcp-tool-runtime.ts"
"Dogmeat88/EasyEDA-MCP","connect_schematic_pins_with_prefix","registration","src/mcp-tool-runtime.ts"
"Dogmeat88/EasyEDA-MCP","add_schematic_text","registration","src/mcp-tool-runtime.ts"
"Dogmeat88/EasyEDA-MCP","add_schematic_net_label","registration","src/mcp-tool-runtime.ts"
"Dogmeat88/EasyEDA-MCP","add_schematic_wire","registration","src/mcp-tool-runtime.ts"
"Dogmeat88/EasyEDA-MCP","list_schematic_primitive_ids","registration","src/mcp-tool-runtime.ts"
"Dogmeat88/EasyEDA-MCP","get_schematic_primitive","registration","src/mcp-tool-runtime.ts"
"Dogmeat88/EasyEDA-MCP","get_schematic_primitives_bbox","registration","src/mcp-tool-runtime.ts"
"Dogmeat88/EasyEDA-MCP","add_pcb_component","registration","src/mcp-tool-runtime.ts"
"Dogmeat88/EasyEDA-MCP","modify_pcb_component","registration","src/mcp-tool-runtime.ts"
"Dogmeat88/EasyEDA-MCP","align_to_board_edge","registration","src/mcp-tool-runtime.ts"
"Dogmeat88/EasyEDA-MCP","delete_pcb_component","registration","src/mcp-tool-runtime.ts"
"Dogmeat88/EasyEDA-MCP","list_pcb_component_pads","registration","src/mcp-tool-runtime.ts"
"Dogmeat88/EasyEDA-MCP","route_pcb_line_between_component_pads","registration","src/mcp-tool-runtime.ts"
"Dogmeat88/EasyEDA-MCP","route_pcb_lines_between_component_pads","registration","src/mcp-tool-runtime.ts"
"Dogmeat88/EasyEDA-MCP","add_pcb_via","registration","src/mcp-tool-runtime.ts"
"Dogmeat88/EasyEDA-MCP","add_pcb_line","registration","src/mcp-tool-runtime.ts"
"Dogmeat88/EasyEDA-MCP","add_pcb_text","registration","src/mcp-tool-runtime.ts"
"Dogmeat88/EasyEDA-MCP","list_pcb_primitive_ids","registration","src/mcp-tool-runtime.ts"
"Dogmeat88/EasyEDA-MCP","get_pcb_primitive","registration","src/mcp-tool-runtime.ts"
"Dogmeat88/EasyEDA-MCP","get_pcb_primitives_bbox","registration","src/mcp-tool-runtime.ts"
"Dogmeat88/EasyEDA-MCP","list_pcb_nets","registration","src/mcp-tool-runtime.ts"
"Dogmeat88/EasyEDA-MCP","run_pcb_drc","registration","src/mcp-tool-runtime.ts"
"Dogmeat88/EasyEDA-MCP","get_pcb_net","registration","src/mcp-tool-runtime.ts"
"Dogmeat88/EasyEDA-MCP","get_layout_fitness_score","registration","src/mcp-tool-runtime.ts"
"Dogmeat88/EasyEDA-MCP","set_pcb_net_color","registration","src/mcp-tool-runtime.ts"
"Dogmeat88/EasyEDA-MCP","get_pcb_net_primitives","registration","src/mcp-tool-runtime.ts"
"Dogmeat88/EasyEDA-MCP","modify_schematic_text","registration","src/mcp-tool-runtime.ts"
"Dogmeat88/EasyEDA-MCP","delete_schematic_text","registration","src/mcp-tool-runtime.ts"
"Dogmeat88/EasyEDA-MCP","modify_schematic_net_label","registration","src/mcp-tool-runtime.ts"
"Dogmeat88/EasyEDA-MCP","modify_schematic_wire","registration","src/mcp-tool-runtime.ts"
"Dogmeat88/EasyEDA-MCP","delete_schematic_wire","registration","src/mcp-tool-runtime.ts"
"Dogmeat88/EasyEDA-MCP","modify_pcb_via","registration","src/mcp-tool-runtime.ts"
"Dogmeat88/EasyEDA-MCP","delete_pcb_via","registration","src/mcp-tool-runtime.ts"
"Dogmeat88/EasyEDA-MCP","modify_pcb_line","registration","src/mcp-tool-runtime.ts"
"Dogmeat88/EasyEDA-MCP","delete_pcb_line","registration","src/mcp-tool-runtime.ts"
"Dogmeat88/EasyEDA-MCP","modify_pcb_text","registration","src/mcp-tool-runtime.ts"
"Dogmeat88/EasyEDA-MCP","delete_pcb_text","registration","src/mcp-tool-runtime.ts"
"Dogmeat88/EasyEDA-MCP","rename_board","registration","src/mcp-tool-runtime.ts"
"Dogmeat88/EasyEDA-MCP","rename_pcb","registration","src/mcp-tool-runtime.ts"
"Dogmeat88/EasyEDA-MCP","rename_schematic","registration","src/mcp-tool-runtime.ts"
"Dogmeat88/EasyEDA-MCP","rename_schematic_page","registration","src/mcp-tool-runtime.ts"
"Dogmeat88/EasyEDA-MCP","rename_panel","registration","src/mcp-tool-runtime.ts"
"Dogmeat88/EasyEDA-MCP","delete_board","registration","src/mcp-tool-runtime.ts"
"Dogmeat88/EasyEDA-MCP","delete_pcb","registration","src/mcp-tool-runtime.ts"
"Dogmeat88/EasyEDA-MCP","delete_schematic","registration","src/mcp-tool-runtime.ts"
"Dogmeat88/EasyEDA-MCP","delete_schematic_page","registration","src/mcp-tool-runtime.ts"
"Dogmeat88/EasyEDA-MCP","delete_panel","registration","src/mcp-tool-runtime.ts"
"Dogmeat88/EasyEDA-MCP","get_document_source","registration","src/mcp-tool-runtime.ts"
"Dogmeat88/EasyEDA-MCP","set_document_source","registration","src/mcp-tool-runtime.ts"
"Dogmeat88/EasyEDA-MCP","compute_source_revision","registration","src/mcp-tool-runtime.ts"
"oaslananka/easyeda-mcp-pro","easyeda_api_call","documentation","docs/reference/tools.md"
"oaslananka/easyeda-mcp-pro","easyeda_api_inventory","documentation","docs/reference/tools.md"
"oaslananka/easyeda-mcp-pro","easyeda_board_dimensions","documentation","docs/reference/tools.md"
"oaslananka/easyeda-mcp-pro","easyeda_board_features","documentation","docs/reference/tools.md"
"oaslananka/easyeda-mcp-pro","easyeda_board_layers","documentation","docs/reference/tools.md"
"oaslananka/easyeda-mcp-pro","easyeda_board_stackup","documentation","docs/reference/tools.md"
"oaslananka/easyeda-mcp-pro","easyeda_bom_export","documentation","docs/reference/tools.md"
"oaslananka/easyeda-mcp-pro","easyeda_bom_generate","documentation","docs/reference/tools.md"
"oaslananka/easyeda-mcp-pro","easyeda_bom_quality_report","documentation","docs/reference/tools.md"
"oaslananka/easyeda-mcp-pro","easyeda_bom_sourcing","documentation","docs/reference/tools.md"
"oaslananka/easyeda-mcp-pro","easyeda_bom_validate","documentation","docs/reference/tools.md"
"oaslananka/easyeda-mcp-pro","easyeda_bridge_probe_methods","documentation","docs/reference/tools.md"
"oaslananka/easyeda-mcp-pro","easyeda_bridge_status","documentation","docs/reference/tools.md"
"oaslananka/easyeda-mcp-pro","easyeda_canvas_capture","documentation","docs/reference/tools.md"
"oaslananka/easyeda-mcp-pro","easyeda_canvas_capture_region","documentation","docs/reference/tools.md"
"oaslananka/easyeda-mcp-pro","easyeda_canvas_locate","documentation","docs/reference/tools.md"
"oaslananka/easyeda-mcp-pro","easyeda_catalog_list","documentation","docs/reference/tools.md"
"oaslananka/easyeda-mcp-pro","easyeda_catalog_verify_device","documentation","docs/reference/tools.md"
"oaslananka/easyeda-mcp-pro","easyeda_component_probe","documentation","docs/reference/tools.md"
"oaslananka/easyeda-mcp-pro","easyeda_design_rules_lookup","documentation","docs/reference/tools.md"
"oaslananka/easyeda-mcp-pro","easyeda_drc_run","documentation","docs/reference/tools.md"
"oaslananka/easyeda-mcp-pro","easyeda_erc_run","documentation","docs/reference/tools.md"
"oaslananka/easyeda-mcp-pro","easyeda_export_gerbers","documentation","docs/reference/tools.md"
"oaslananka/easyeda-mcp-pro","easyeda_export_netlist","documentation","docs/reference/tools.md"
"oaslananka/easyeda-mcp-pro","easyeda_export_pdf","documentation","docs/reference/tools.md"
"oaslananka/easyeda-mcp-pro","easyeda_export_pick_place","documentation","docs/reference/tools.md"
"oaslananka/easyeda-mcp-pro","easyeda_get_capabilities","documentation","docs/reference/tools.md"
"oaslananka/easyeda-mcp-pro","easyeda_get_feature_flags","documentation","docs/reference/tools.md"
"oaslananka/easyeda-mcp-pro","easyeda_get_server_config","documentation","docs/reference/tools.md"
"oaslananka/easyeda-mcp-pro","easyeda_get_tool_profiles","documentation","docs/reference/tools.md"
"oaslananka/easyeda-mcp-pro","easyeda_health_check","documentation","docs/reference/tools.md"
"oaslananka/easyeda-mcp-pro","easyeda_jlcpcb_quote_workflow","documentation","docs/reference/tools.md"
"oaslananka/easyeda-mcp-pro","easyeda_live_smoke_report","documentation","docs/reference/tools.md"
"oaslananka/easyeda-mcp-pro","easyeda_live_write_regression","documentation","docs/reference/tools.md"
"oaslananka/easyeda-mcp-pro","easyeda_observability_report","documentation","docs/reference/tools.md"
"oaslananka/easyeda-mcp-pro","easyeda_pcb_add_silkscreen_line","documentation","docs/reference/tools.md"
"oaslananka/easyeda-mcp-pro","easyeda_pcb_add_text","documentation","docs/reference/tools.md"
"oaslananka/easyeda-mcp-pro","easyeda_pcb_add_track","documentation","docs/reference/tools.md"
"oaslananka/easyeda-mcp-pro","easyeda_pcb_add_via","documentation","docs/reference/tools.md"
"oaslananka/easyeda-mcp-pro","easyeda_pcb_add_zone","documentation","docs/reference/tools.md"
"oaslananka/easyeda-mcp-pro","easyeda_pcb_autoroute","documentation","docs/reference/tools.md"
"oaslananka/easyeda-mcp-pro","easyeda_pcb_components","documentation","docs/reference/tools.md"
"oaslananka/easyeda-mcp-pro","easyeda_pcb_constraint_check","documentation","docs/reference/tools.md"
"oaslananka/easyeda-mcp-pro","easyeda_pcb_constraint_report","documentation","docs/reference/tools.md"
"oaslananka/easyeda-mcp-pro","easyeda_pcb_delete_component","documentation","docs/reference/tools.md"
"oaslananka/easyeda-mcp-pro","easyeda_pcb_export_route_context","documentation","docs/reference/tools.md"
"oaslananka/easyeda-mcp-pro","easyeda_pcb_fills","documentation","docs/reference/tools.md"
"oaslananka/easyeda-mcp-pro","easyeda_pcb_floorplan","documentation","docs/reference/tools.md"
"oaslananka/easyeda-mcp-pro","easyeda_pcb_modify_component","documentation","docs/reference/tools.md"
"oaslananka/easyeda-mcp-pro","easyeda_pcb_place_component","documentation","docs/reference/tools.md"
"oaslananka/easyeda-mcp-pro","easyeda_pcb_place_component_group","documentation","docs/reference/tools.md"
"oaslananka/easyeda-mcp-pro","easyeda_pcb_production_review","documentation","docs/reference/tools.md"
"oaslananka/easyeda-mcp-pro","easyeda_pcb_regions","documentation","docs/reference/tools.md"
"oaslananka/easyeda-mcp-pro","easyeda_pcb_route_path_plan","documentation","docs/reference/tools.md"
"oaslananka/easyeda-mcp-pro","easyeda_pcb_tracks","documentation","docs/reference/tools.md"
"oaslananka/easyeda-mcp-pro","easyeda_pcb_vias","documentation","docs/reference/tools.md"
"oaslananka/easyeda-mcp-pro","easyeda_post_write_qa","documentation","docs/reference/tools.md"
"oaslananka/easyeda-mcp-pro","easyeda_power_tree_analyze","documentation","docs/reference/tools.md"
"oaslananka/easyeda-mcp-pro","easyeda_production_qa_artifacts","documentation","docs/reference/tools.md"
"oaslananka/easyeda-mcp-pro","easyeda_project_begin_transaction","documentation","docs/reference/tools.md"
